title,rating,username,description,date
The mouse is nice & sturdy,4.0 out of 5 stars,Yash Mathukia,"The product is good & worth the money. The packing was little damaged due to delivery but the product was not damaged. The only problem with this Matte finish mouse is that despite your hands are clean, you will always feel the mouse is dusty because of the matte finish on the top of the mouse.",Reviewed in India 🇮🇳 on 13 June 2023
9 Months Review,4.0 out of 5 stars,Pravin,"Guys, this is my 4th HP product and I see that nowadays HP products are very bad in quality. Having trouble in left click button, simply double clicks mostly for a single click and taking a snap with this mouse is a nightmare. Have to try atleast 3 times to capture the correct frame. Its been like this for 2 weeks, bought it on 25 Sep 2022. Should get a replacement and that's another headache, called a local HP authorised service centre the said we can do only with ticket number from HP customer care team, so called the toll free number they said no need ticket numbers for mouse. Confused!! 😢😢",Reviewed in India 🇮🇳 on 24 May 2023
Very good product,4.0 out of 5 stars,Amazing 🤩 and  smooth use product ,Hmm very smooth use product,Reviewed in India 🇮🇳 on 9 June 2023
Value of Money,4.0 out of 5 stars,Vinaya Vijayan,"Good,",Reviewed in India 🇮🇳 on 30 May 2023
Value for money.,4.0 out of 5 stars,Sebastian Palackel,Nil,Reviewed in India 🇮🇳 on 14 May 2023
Good mouse but feels a bit cheap,4.0 out of 5 stars,Ambar gupta,Value for money mouse but could have been made better. Felt like could go down any time,Reviewed in India 🇮🇳 on 27 April 2023
Mouse,4.0 out of 5 stars,Amazon Customer,Nice product,Reviewed in India 🇮🇳 on 27 April 2023
Good Buy at this price,4.0 out of 5 stars,Siva EN,A good economical option provided by HP. Movement can be improved.,Reviewed in India 🇮🇳 on 17 April 2023
Amazing,5.0 out of 5 stars,Ganesh vakiti,Just go for it.,Reviewed in India 🇮🇳 on 14 June 2023
Not happy,3.0 out of 5 stars,Kalp,The build is not good and seems a cheap mouse. Bought after seeing the features but after using it for a week or so thinking to change it as have a bad experience while using it for long hours.,Reviewed in India 🇮🇳 on 30 April 2023
